Gender,Married,ApplicantIncome,Education,Loan_Status
1,2,5849,1,1
1,1,4583,1,2
1,1,3000,1,1
1,1,2583,2,1
1,2,6000,1,1
1,1,5417,1,1
1,1,2333,2,1
1,1,3036,1,2
1,1,4006,1,1
1,1,12841,1,2
1,1,3200,1,1
1,1,2500,1,1
1,1,3073,1,1
1,2,1853,1,2
1,1,1299,1,1
1,2,4950,1,1
1,2,3596,2,1
2,2,3510,1,2
1,1,4887,2,2
1,1,2600,1,1
1,1,7660,2,2
1,1,5955,1,1
1,1,2600,2,2
1,1,3717,1,2
1,1,9560,1,1
1,1,2799,1,1
1,1,4226,2,1
1,2,1442,2,2
2,2,3750,1,1
1,1,4166,1,2
1,2,3167,1,2
1,2,4692,1,2
1,1,3500,1,1
1,2,12500,1,2
1,1,2275,1,1
1,1,1828,1,2
2,1,3667,1,1
1,2,4166,1,1
1,2,3748,2,1
1,2,3600,1,2
1,2,1800,1,1
1,1,2400,1,1
1,1,3941,1,1
1,1,4695,2,1
2,2,3410,1,1
1,1,5649,1,1
1,1,5821,1,1
2,1,2645,1,2
2,2,4000,1,1
2,1,1928,2,1
2,2,3086,1,1
2,2,4230,1,2
1,1,4616,1,2
2,1,11500,1,2
1,1,2708,1,1
1,1,2132,1,1
1,1,3366,1,2
1,1,8080,1,1
1,1,3357,2,1
1,1,2500,1,1
1,1,3029,1,1
1,1,2609,2,2
1,1,4945,1,2
2,2,4166,1,2
1,1,5726,1,2
1,2,3200,2,2
1,1,10750,1,1
1,1,7100,2,1
2,2,4300,1,2
1,1,3208,1,1
1,1,1875,2,1
1,2,3500,1,1
1,1,4755,2,2
1,1,5266,1,1
1,2,3750,1,2
1,2,3750,1,2
1,1,1000,1,2
1,1,3167,1,2
1,1,3333,2,1
2,2,3846,1,1
1,1,2395,1,1
2,1,1378,1,2
1,1,6000,1,2
1,1,3988,1,1
1,2,2366,1,1
1,1,3333,2,1
1,1,2500,1,1
1,2,8566,1,1
1,1,5695,1,1
1,1,2958,1,1
1,1,6250,1,1
1,1,3273,2,1
1,2,4133,1,1
1,2,3620,2,1
1,2,6782,1,2
2,1,2484,1,1
1,1,1977,1,1
1,1,4188,2,1
1,1,1759,1,1
1,1,4288,2,1
1,2,4843,1,1
1,1,13650,1,1
1,1,4652,1,1
1,1,3052,1,1
1,1,11417,1,1
1,2,7333,2,2
1,1,3800,1,2
1,1,2071,2,1
1,2,5316,1,1
2,1,2929,1,1
1,1,3572,2,2
2,2,7451,1,1
1,2,5050,1,1
1,1,14583,1,1
2,1,3167,1,1
1,1,2214,1,1
1,1,5568,1,2
2,2,10408,1,1
1,1,5667,1,1
2,2,4166,1,1
2,2,2137,1,1
1,1,2957,1,1
1,1,4300,2,1
2,2,3692,1,1
1,2,3865,1,1
1,1,10513,1,2
1,1,6080,1,2
1,2,20166,1,1
1,2,2014,1,1
1,2,2718,1,1
1,1,3459,1,1
1,2,4895,1,1
1,1,4000,1,2
2,1,4583,1,2
1,1,3316,1,1
1,2,14999,1,2
1,1,4200,2,2
1,1,5042,1,2
1,2,5417,1,1
1,2,6950,1,1
1,1,2698,1,1
1,1,11757,1,1
2,1,2330,1,1
2,1,14866,1,1
1,1,1538,1,1
2,2,10000,1,2
1,1,4860,1,1
1,2,6277,1,2
1,1,2577,1,1
1,2,9166,1,2
1,1,2281,2,2
1,2,3254,1,1
1,1,39999,1,1
1,1,6000,1,1
1,1,9538,1,1
1,2,2980,1,1
1,1,4583,1,1
1,1,1863,2,1
1,1,7933,1,2
1,1,3089,1,2
1,1,4167,1,1
1,1,9323,1,1
1,1,3707,1,1
2,1,4583,1,2
1,1,2439,1,1
1,2,2237,1,2
1,1,8000,1,1
1,1,1820,2,1
1,1,3522,2,2
1,1,5708,1,1
1,1,4344,2,2
1,1,3497,1,1
1,1,2045,1,1
1,1,5516,1,2
1,1,3750,1,1
1,2,2333,2,2
1,1,6400,1,2
1,2,1916,1,2
1,1,4600,1,1
1,1,33846,1,2
2,1,3625,1,1
1,1,39147,1,1
1,1,2178,1,2
1,1,2383,1,1
1,1,9328,1,1
1,2,4885,2,1
1,2,12000,1,2
1,1,6033,2,2
1,2,3858,1,1
1,2,4191,1,1
1,1,3125,1,2
1,2,8333,1,1
2,2,1907,2,1
2,1,3416,1,1
1,2,11000,1,2
1,1,2600,2,1
1,2,4923,1,1
1,1,3992,2,2
1,1,3500,2,1
1,1,3917,2,1
2,2,4408,2,1
2,2,3244,1,1
1,2,3975,2,1
1,2,2479,1,1
1,2,3418,1,2
2,2,10000,1,2
1,1,3430,1,2
1,1,7787,1,1
1,1,5703,2,1
1,1,3173,1,1
1,1,3850,2,1
1,1,150,1,2
1,1,3727,1,1
1,1,5000,1,2
2,1,4283,1,1
1,1,2221,1,2
1,1,4009,1,1
1,2,2971,1,1
1,1,7578,1,1
1,1,6250,1,1
1,1,3250,1,2
1,1,4735,2,2
1,1,6250,1,1
1,2,6400,1,1
1,1,2491,1,1
1,1,3716,1,1
1,2,3189,2,1
2,2,8333,1,1
1,1,3155,1,1
1,1,5500,1,1
1,1,5746,1,2
2,2,3463,1,1
2,2,3812,1,1
1,1,3315,1,1
1,1,5819,1,1
1,1,2510,2,2
1,2,2965,1,1
1,1,6250,1,1
1,1,3406,2,1
1,2,6050,1,2
1,1,9703,1,1
1,1,6608,2,1
1,1,2882,1,1
1,1,1809,1,1
1,1,1668,2,2
2,2,3427,1,2
1,2,2583,2,1
1,1,2661,2,1
1,2,16250,1,2
2,2,3083,1,1
1,2,6045,2,2
1,1,5250,1,2
1,1,14683,1,2
1,1,4931,2,2
1,1,6083,1,1
1,2,2060,1,1
2,2,3481,1,2
2,2,7200,1,1
1,2,5166,1,1
1,2,4095,1,1
1,1,4708,1,1
1,1,4333,1,1
2,2,3418,1,2
2,2,2876,1,1
2,2,3237,1,1
1,1,11146,1,1
1,2,2833,1,1
1,1,2620,1,1
1,1,3900,1,1
1,1,2750,1,1
1,1,3993,1,1
1,1,3103,1,1
1,1,14583,1,1
2,1,4100,2,1
1,2,4053,2,2
1,1,3927,1,1
1,1,2301,1,1
2,2,1811,1,1
1,1,20667,1,2
1,2,3158,1,1
2,2,2600,1,2
1,1,3704,1,1
2,2,4124,1,1
1,2,9508,1,1
1,1,3075,1,1
1,1,4400,1,2
1,1,3153,1,1
2,2,5417,1,2
1,1,2383,1,1
1,1,4416,1,1
1,1,6875,1,1
2,1,4666,1,1
2,2,5000,1,2
1,1,2014,1,2
1,1,1800,2,2
1,1,2875,2,1
2,2,5000,1,1
1,1,1625,1,1
1,2,4000,1,1
1,2,2000,2,2
2,2,3762,1,1
2,2,2400,1,2
1,2,20233,1,2
1,1,7667,2,1
2,2,2917,1,1
1,2,2927,2,1
2,2,2507,1,1
1,1,5746,1,1
1,1,3399,2,1
1,1,3717,1,1
1,1,2058,1,1
2,2,3541,1,1
1,1,10000,1,2
1,1,2400,1,1
1,1,4342,1,1
1,1,3601,2,1
2,2,3166,1,1
1,1,15000,1,1
1,1,8666,1,2
1,2,4917,1,1
1,1,5818,1,1
2,1,4333,1,2
2,2,2500,1,1
1,2,4384,1,1
1,2,2935,1,1
1,2,2833,1,1
1,1,63337,1,1
1,1,5503,1,1
1,1,5250,1,1
1,1,2500,1,1
2,2,1830,2,2
2,2,4160,1,1
1,1,2647,2,2
2,2,2378,1,2
1,1,4554,2,1
1,1,3173,2,1
1,1,2583,1,1
1,1,2499,1,1
1,1,3523,2,2
1,1,3083,2,1
1,1,6333,1,1
1,1,2625,1,1
1,1,9083,1,1
1,2,8750,1,2
1,1,2666,1,1
2,1,5500,1,2
2,1,2423,1,1
2,2,3813,1,1
1,1,8333,1,1
1,1,3875,1,2
1,1,3000,2,2
1,1,5167,1,1
2,2,4723,1,2
1,1,5000,1,1
1,1,4750,1,1
1,1,3013,1,1
1,2,6822,1,1
1,2,6216,2,2
1,2,2500,1,2
1,2,5124,1,2
1,1,6325,1,1
1,1,19730,1,2
2,2,15759,1,1
1,1,5185,1,1
1,1,9323,1,1
1,2,3062,1,2
2,2,2764,1,1
1,1,4817,1,1
1,1,8750,1,1
1,1,4310,1,1
1,2,3069,1,2
1,1,5391,1,1
1,1,3333,1,1
1,2,5941,1,1
2,2,6000,1,1
1,2,7167,1,1
1,1,4566,1,2
1,2,3667,1,1
1,2,2346,2,1
1,1,3010,2,2
1,1,2333,1,1
1,1,5488,1,1
1,2,9167,1,1
1,1,9504,1,1
1,1,2583,1,1
1,1,1993,2,1
1,1,3100,1,1
1,1,3276,1,1
2,2,3180,1,2
1,1,3033,1,1
1,2,3902,2,1
2,2,1500,1,2
1,1,2889,2,2
1,2,2755,2,2
1,2,2500,1,1
2,2,1963,2,1
2,2,7441,1,2
2,2,4547,1,1
1,1,2167,2,1
2,2,2213,2,1
1,1,8300,1,2
1,1,81000,1,2
2,2,3867,2,2
1,1,6256,1,1
1,1,6096,2,2
1,1,2253,2,1
2,1,2149,2,2
2,2,2995,1,1
2,2,2600,1,2
1,1,1600,1,2
1,1,1025,1,1
1,1,3246,1,1
1,1,5829,1,1
2,2,2720,2,2
1,1,1820,1,1
1,1,7250,1,2
1,1,14880,1,1
1,1,2666,1,1
2,2,4606,2,2
1,1,5935,1,1
1,1,2920,1,1
1,2,2717,2,1
2,2,8624,1,1
1,2,6500,1,2
1,2,12876,1,1
1,1,2425,1,1
1,2,3750,1,1
1,2,1926,1,1
1,1,2213,1,1
1,2,10416,1,2
2,1,7142,2,1
1,2,3660,1,1
1,1,7901,1,1
1,2,4707,2,1
1,2,37719,1,1
1,1,7333,1,1
1,1,3466,1,1
1,1,4652,2,1
1,1,3539,1,2
1,1,3340,1,2
1,2,2769,2,2
1,1,2309,2,2
1,1,1958,2,1
1,1,3948,1,2
1,1,2483,1,1
1,2,7085,1,1
1,1,3859,1,1
1,1,4301,1,1
1,1,3708,1,2
1,2,4354,1,1
1,1,8334,1,2
1,1,7740,1,1
1,1,3015,1,1
2,2,5191,2,1
1,2,4166,1,2
1,2,6000,1,1
1,1,2947,2,2
2,1,210,2,1
1,1,4333,1,2
1,1,3450,1,1
1,1,2653,2,2
1,1,4691,1,1
2,2,2500,1,1
1,2,5532,1,1
1,1,16525,1,1
1,1,6700,1,1
1,1,16667,1,1
1,1,2947,1,2
2,2,4350,2,1
1,1,3095,2,1
1,1,2083,1,1
1,1,10833,1,1
1,1,8333,1,1
1,1,1958,2,1
1,2,3547,1,2
1,1,18333,1,2
1,1,4583,1,1
1,2,2435,1,2
1,2,2699,2,1
1,1,5333,2,1
1,2,3691,2,1
2,2,17263,2,1
1,1,3597,1,2
2,1,3326,1,1
1,1,2600,2,1
1,1,4625,1,1
1,1,2895,1,1
1,2,6283,1,2
2,2,645,1,1
2,2,3159,1,1
1,1,4865,1,1
1,1,4050,2,2
1,1,3814,2,1
1,1,3510,1,1
1,1,20833,1,1
1,1,2479,1,1
2,2,13262,1,1
1,2,3598,2,2
1,1,6065,1,1
1,1,3283,1,1
1,1,2130,1,2
1,2,5815,1,2
1,1,3466,1,1
2,1,2031,1,1
1,1,3074,2,2
1,2,4683,1,2
2,2,3400,2,2
1,1,2192,2,1
1,2,2500,1,1
1,1,5677,1,1
1,1,7948,1,1
1,2,4680,1,2
1,1,17500,1,1
1,1,3775,1,1
1,1,5285,2,1
1,2,2679,2,1
1,2,6783,2,1
1,1,1025,1,1
1,1,4281,1,1
1,2,3588,1,2
1,2,11250,1,2
2,2,18165,2,1
1,2,2550,2,1
1,1,6133,1,1
1,2,3617,1,1
1,1,2917,2,2
1,1,6417,1,1
2,1,4608,1,1
2,2,2138,1,2
2,2,3652,1,1
1,1,2239,2,1
2,1,3017,2,1
1,1,2768,1,1
1,2,3358,2,2
1,2,2526,1,1
2,2,5000,1,2
1,1,2785,1,1
1,1,6633,1,2
1,1,2492,2,1
1,1,3333,1,1
1,1,2454,2,2
1,1,3593,1,2
1,1,5468,1,1
2,2,2667,1,1
1,1,10139,1,1
1,1,3887,1,1
2,1,4180,1,1
1,1,3675,2,1
2,1,19484,1,1
1,1,5923,1,1
1,2,5800,2,1
1,1,8799,1,2
1,1,4467,2,1
1,2,3333,1,1
1,1,3400,1,2
2,2,2378,1,2
1,1,3166,1,2
1,1,3417,1,1
1,1,5116,1,2
1,1,16666,1,1
1,1,6125,2,2
1,1,6406,1,2
1,1,3159,1,1
1,2,3229,1,1
1,1,1782,1,1
1,2,3182,1,1
1,1,6540,1,1
1,2,1836,1,2
2,1,3166,1,1
1,1,1880,1,2
1,1,2787,1,2
1,1,4283,1,2
1,1,2297,1,1
2,2,2165,2,1
1,1,2726,1,2
1,1,3000,1,1
1,1,6000,1,2
1,1,3859,1,1
1,1,16120,1,1
1,2,3833,2,1
1,1,6383,2,2
1,2,2987,1,2
1,1,9963,1,1
1,1,5780,1,1
2,2,416,1,2
1,1,2894,2,1
1,1,5703,1,1
1,2,3676,1,1
2,1,12000,1,1
1,1,2400,2,2
1,1,3400,1,1
1,1,3987,2,1
1,1,3232,1,1
2,2,2900,1,1
1,1,4106,1,1
1,1,8072,1,1
1,1,7583,1,1
2,2,4583,1,2
